r_um,r_inner_um,r_outer_um,density,g_r,n_center_particles,average_density
0.25,0.0,0.5,0.0,0.0,3715,0.008769257846944966
0.75,0.5,1.0,0.0,0.0,3715,0.008769257846944966
1.25,1.0,1.5,0.0,0.0,3715,0.008769257846944966
1.75,1.5,2.0,0.0,0.0,3715,0.008769257846944966
2.25,2.0,2.5,0.0,0.0,3715,0.008769257846944966
2.75,2.5,3.0,0.0,0.0,3715,0.008769257846944966
3.25,3.0,3.5,0.0,0.0,3715,0.008769257846944966
3.75,3.5,4.0,0.0,0.0,3715,0.008769257846944966
4.25,4.0,4.5,0.0,0.0,3715,0.008769257846944966
4.75,4.5,5.0,0.0003608039627263466,0.041144184493565036,3715,0.008769257846944966
5.25,5.0,5.5,0.0007834600333486531,0.08934165775745719,3715,0.008769257846944966
5.75,5.5,6.0,0.0014008606031070577,0.15974676849023084,3715,0.008769257846944966
6.25,6.0,6.5,0.005319693626437302,0.6066298561731283,3715,0.008769257846944966
6.75,6.5,7.0,0.02112440386214129,2.4089158091640113,3715,0.008769257846944966
7.25,7.0,7.5,0.03269257147779395,3.728088744611767,3715,0.008769257846944966
7.75,7.5,8.0,0.0203004603802358,2.314957632054128,3715,0.008769257846944966
8.25,8.0,8.5,0.011342364573706316,1.2934235452613323,3715,0.008769257846944966
8.75,8.5,9.0,0.008108811345158442,0.9246861577896686,3715,0.008769257846944966
9.25,9.0,9.5,0.008374552518632,0.9549898822452264,3715,0.008769257846944966
9.75,9.5,10.0,0.010634465516767288,1.2126984634705573,3715,0.008769257846944966
10.25,10.0,10.5,0.01414527535820321,1.6130527354867483,3715,0.008769257846944966
10.75,10.5,11.0,0.015193203146712042,1.7325529037790866,3715,0.008769257846944966
11.25,11.0,11.5,0.01581283500641968,1.8032124590712721,3715,0.008769257846944966
11.75,11.5,12.0,0.016569346237203044,1.8894810172534124,3715,0.008769257846944966
12.25,12.0,12.5,0.014535981690164755,1.6576068287499153,3715,0.008769257846944966
12.75,12.5,13.0,0.013939059759994973,1.589536994268114,3715,0.008769257846944966
13.25,13.0,13.5,0.012947416164325048,1.4764551790247185,3715,0.008769257846944966
13.75,13.5,14.0,0.012214854156298883,1.3929176641275627,3715,0.008769257846944966
14.25,14.0,14.5,0.010908306473093429,1.2439258445221408,3715,0.008769257846944966
14.75,14.5,15.0,0.010875487581568265,1.2401833509043263,3715,0.008769257846944966
15.25,15.0,15.5,0.010901011529584744,1.2430939675678985,3715,0.008769257846944966
15.75,15.5,16.0,0.010250268769644412,1.1688866889933451,3715,0.008769257846944966
16.25,16.0,16.5,0.010029795080772971,1.1437450301757464,3715,0.008769257846944966
16.75,16.5,17.0,0.01032383995436825,1.177276359591236,3715,0.008769257846944966
17.25,17.0,17.5,0.012120921530430116,1.3822060819722393,3715,0.008769257846944966
17.75,17.5,18.0,0.012928469881297089,1.474294644648989,3715,0.008769257846944966
18.25,18.0,18.5,0.013006241478278894,1.4831633081481357,3715,0.008769257846944966
18.75,18.5,19.0,0.012677689106303453,1.4456969252785863,3715,0.008769257846944966
19.25,19.0,19.5,0.012544263488502114,1.4304817702301094,3715,0.008769257846944966
19.75,19.5,20.0,0.011905617342216386,1.3576539257953355,3715,0.008769257846944966
20.25,20.0,20.5,0.012034816623383668,1.3723871316631837,3715,0.008769257846944966
20.75,20.5,21.0,0.01255423908859873,1.431619335149596,3715,0.008769257846944966
21.25,21.0,21.5,0.012484666060832832,1.4236855933232981,3715,0.008769257846944966
21.75,21.5,22.0,0.013127458202459375,1.496986225240568,3715,0.008769257846944966
22.25,22.0,22.5,0.013171371628066364,1.5019938811190283,3715,0.008769257846944966
22.75,22.5,23.0,0.01234702879479208,1.4079901640813923,3715,0.008769257846944966
23.25,23.0,23.5,0.011690824314834224,1.3331600597087099,3715,0.008769257846944966
23.75,23.5,24.0,0.012216822177914236,1.393142086952128,3715,0.008769257846944966
24.25,24.0,24.5,0.012049736466515765,1.3740885120299722,3715,0.008769257846944966
24.75,24.5,25.0,0.011432383340164037,1.3036888114935348,3715,0.008769257846944966
25.25,25.0,25.5,0.011491070365365308,1.3103811708956155,3715,0.008769257846944966
25.75,25.5,26.0,0.010948473645642692,1.2485062974236665,3715,0.008769257846944966
26.25,26.0,26.5,0.011229593811330277,1.2805637611901721,3715,0.008769257846944966
26.75,26.5,27.0,0.011782103982824074,1.3435691125137486,3715,0.008769257846944966
27.25,27.0,27.5,0.01173572816009143,1.3382806578301176,3715,0.008769257846944966
27.75,27.5,28.0,0.011746606851355156,1.3395212065120696,3715,0.008769257846944966
28.25,28.0,28.5,0.011429503229869603,1.3033603788776051,3715,0.008769257846944966
28.75,28.5,29.0,0.011761267957149992,1.3411930818350133,3715,0.008769257846944966
29.25,29.0,29.5,0.012175437655009651,1.388422813824699,3715,0.008769257846944966
29.75,29.5,30.0,0.011527231814195894,1.3145048321519877,3715,0.008769257846944966
30.25,30.0,30.5,0.011687961096681923,1.332833553383742,3715,0.008769257846944966
30.75,30.5,31.0,0.011620527628783555,1.3251437957012422,3715,0.008769257846944966
31.25,31.0,31.5,0.011725262859095599,1.337087249998065,3715,0.008769257846944966
31.75,31.5,32.0,0.011686355123423966,1.3326504166478874,3715,0.008769257846944966
32.25,32.0,32.5,0.011542370491311047,1.3162311671941747,3715,0.008769257846944966
32.75,32.5,33.0,0.011575472477453061,1.3200059434317721,3715,0.008769257846944966
33.25,33.0,33.5,0.01171066576163252,1.33542267384831,3715,0.008769257846944966
33.75,33.5,34.0,0.011775839556803901,1.3428547503488415,3715,0.008769257846944966
34.25,34.0,34.5,0.01192917977784867,1.3603408619127966,3715,0.008769257846944966
34.75,34.5,35.0,0.011584922057870031,1.321083523836169,3715,0.008769257846944966
35.25,35.0,35.5,0.011498387280218542,1.3112155533463243,3715,0.008769257846944966
35.75,35.5,36.0,0.011524532728314016,1.3141970426070813,3715,0.008769257846944966
36.25,36.0,36.5,0.011360845880135667,1.2955310561535784,3715,0.008769257846944966
36.75,36.5,37.0,0.01121560345359198,1.2789683744445113,3715,0.008769257846944966
37.25,37.0,37.5,0.011203084117808789,1.2775407352985657,3715,0.008769257846944966
37.75,37.5,38.0,0.011009299723586722,1.2554425831397056,3715,0.008769257846944966
38.25,38.0,38.5,0.01139409481506504,1.2993225896572895,3715,0.008769257846944966
38.75,38.5,39.0,0.011282456302828045,1.2865919214313704,3715,0.008769257846944966
39.25,39.0,39.5,0.011330853109695912,1.2921108385065168,3715,0.008769257846944966
39.75,39.5,40.0,0.011304736990629474,1.2891326937738314,3715,0.008769257846944966
40.25,40.0,40.5,0.011185595150037815,1.275546385482855,3715,0.008769257846944966
40.75,40.5,41.0,0.011267044482658964,1.2848344385932473,3715,0.008769257846944966
41.25,41.0,41.5,0.011018297014457784,1.2564685868253194,3715,0.008769257846944966
41.75,41.5,42.0,0.01141588059071666,1.301806924823601,3715,0.008769257846944966
42.25,42.0,42.5,0.011536333094604095,1.3155426942569743,3715,0.008769257846944966
42.75,42.5,43.0,0.011565771471839372,1.3188996918215439,3715,0.008769257846944966
43.25,43.0,43.5,0.01115864463682651,1.2724730908344721,3715,0.008769257846944966
43.75,43.5,44.0,0.010792161959377442,1.2306813356089439,3715,0.008769257846944966
44.25,44.0,44.5,0.011111742831737884,1.2671246558919456,3715,0.008769257846944966
44.75,44.5,45.0,0.01114843931532498,1.2713093296953142,3715,0.008769257846944966
45.25,45.0,45.5,0.010900266458454409,1.243009003578546,3715,0.008769257846944966
45.75,45.5,46.0,0.010990916779313502,1.2533462889499272,3715,0.008769257846944966
46.25,46.0,46.5,0.011168540394317144,1.2736015509234957,3715,0.008769257846944966
